Filename,Name,Date,Activity Type,Distance (km),Duration (min),Avg Pace (min/km)
6696857247.gpx,Warm up,17/02/2022,running,0.6,4,06:36
6696906401.gpx,Way down,17/02/2022,running,1.6,11.2,07:02
6696949002.gpx,Way back up,17/02/2022,running,1.15,9.8,08:31
6701513779.gpx,"30,20,10 rest",18/02/2022,running,0.84,7,08:21
6701530728.gpx,Warm up,18/02/2022,running,0.45,3,06:46
6701590012.gpx,15 min steady state run,18/02/2022,running,2,15,07:30
6701623929.gpx,Afternoon Walk,18/02/2022,walking,0.4,4.6,11:35
6714990079.gpx,Morning Run,21/02/2022,running,2.55,19.8,07:45
6721651885.gpx,Warm up,22/02/2022,running,0.44,2.6,05:56
6721688120.gpx,Afternoon Run,22/02/2022,running,1.09,7.8,07:09
6721723091.gpx,Afternoon Run,22/02/2022,running,1.02,6.1,05:59
6732218190.gpx,Afternoon Run,24/02/2022,running,5.25,36.3,06:54
6739392543.gpx,Morning Run,26/02/2022,running,3.6,26.1,07:15
6740149825.gpx,Lunch Run,26/02/2022,running,3.15,25.7,08:08
6751891425.gpx,Afternoon Run,28/02/2022,running,1.49,12.9,08:36
6752432481.gpx,Afternoon Run,28/02/2022,running,2.06,15.3,07:26
6761973094.gpx,Fartlek,02/03/2022,running,2.61,19.2,07:21
6772135584.gpx,Afternoon Run,04/03/2022,running,5.57,43.9,07:52
6781878404.gpx,Lunch Run,06/03/2022,running,7.4,69.3,09:21
6792763049.gpx,Afternoon Run,08/03/2022,running,6.63,47.3,07:08
6798451734.gpx,Afternoon Run,09/03/2022,running,5.2,35.5,06:49
6807543612.gpx,Slow long run,11/03/2022,running,8.06,61.7,07:39
6823575440.gpx,Afternoon Run,14/03/2022,running,0.66,3.6,05:25
6823624909.gpx,Afternoon Run,14/03/2022,running,0.62,3.6,05:49
6823687783.gpx,Army prep run one,14/03/2022,running,0.7,5,07:06
6870823968.gpx,Afternoon Run,23/03/2022,running,5.21,41.5,07:58
6880408148.gpx,Afternoon Run,25/03/2022,running,4.12,31.4,07:37
6915609703.gpx,Afternoon Run,01/04/2022,running,5.19,38.6,07:25
6955081420.gpx,Afternoon Run,09/04/2022,running,6.27,47.7,07:36
6976251004.gpx,Evening Walk,13/04/2022,walking,3.64,40.5,11:06
7022876013.gpx,Afternoon Run,22/04/2022,running,7.51,60.5,08:03
7042297145.gpx,Morning Run,26/04/2022,running,10.5,79.2,07:32
7055682895.gpx,Evening Run,28/04/2022,running,0.79,5.4,06:51
7055807386.gpx,Evening Run,28/04/2022,running,2.8,17.7,06:19
7060022497.gpx,Afternoon Run,29/04/2022,running,6.46,44.9,06:56
7071309760.gpx,"Start of long run, couldn’t finish",01/05/2022,running,2.68,25.1,09:21
7071549004.gpx,"Bike run club intervals, “all over the pace”",01/05/2022,running,4.35,32.2,07:24
7079552417.gpx,45 min easy run,03/05/2022,running,6.17,50.4,08:09
7097287135.gpx,Afternoon Run,06/05/2022,running,6.25,42.4,06:46
7097558268.gpx,Afternoon Run,06/05/2022,running,0.23,1.2,05:32
7109033152.gpx,Afternoon Walk,08/05/2022,walking,4.92,59.9,12:11
7117422872.gpx,Morning Run,10/05/2022,running,11.72,92.9,07:55
7135671916.gpx,Afternoon Run,13/05/2022,running,8.32,58.1,06:58
